index,mass_dry,H2O,MgO,MnO,Al2O3,P,Fe,SiO2,TiO2,CaO,Na2O,K2O,DHID,interval_from,interval_to
27,2.17,0.89,0.06,0.0,1.06,0.029,63.36,2.22,0.048,0.02,0.01,0.01,CBS02,33.3,33.8
28,2.1100000000000003,0.63,0.05,0.0,1.04,0.023,64.00,2.22,0.047,0.03,0.01,0.01,CBS02,33.8,34.1
29,1.9200000000000002,0.53,0.05,0.0,0.93,0.022,64.75,2.31,0.044,0.02,0.01,0.02,CBS02,34.1,34.5
30,2.21,0.48,0.04,0.0,0.88,0.02,63.93,3.08,0.036,0.02,0.01,0.01,CBS02,34.5,34.75
31,2.22,0.61,0.05,0.0,0.88,0.021,60.65,7.02,0.038,0.02,0.01,0.01,CBS02,34.75,35.0
46,24.29,1.23,0.11,0.0,1.35,0.04,59.43,4.05,0.049,1.49,0.01,0.02,CBS03,8.4,9.0
47,24.0,0.72,0.12,0.0,1.43,0.042,59.51,3.89,0.051,1.37,0.02,0.02,CBS03,9.0,9.6
48,20.18,0.91,0.13,0.0,1.54,0.045,58.70,4.24,0.06,1.88,0.02,0.03,CBS03,9.6,10.1
49,24.33,0.84,0.12,0.0,1.52,0.046,59.70,4.08,0.058,1.32,0.02,0.02,CBS03,10.1,10.5
51,23.28,1.36,0.11,0.0,1.23,0.053,62.54,2.85,0.049,0.22,0.03,0.02,CBS03,10.85,11.4
52,22.23,1.47,0.13,0.0,1.41,0.052,61.98,3.14,0.058,0.16,0.04,0.02,CBS03,11.4,11.9
54,18.6,3.66,0.26,0.0,2.22,0.056,57.07,5.71,0.086,0.3,0.06,0.02,CBS03,12.5,13.0
55,21.5,2.29,0.16,0.0,1.31,0.043,60.35,3.05,0.042,0.1,0.04,0.02,CBS03,13.0,13.55
56,24.75,0.95,0.11,0.19,1.16,0.046,61.13,3.07,0.041,0.06,0.04,0.02,CBS03,13.55,13.9
57,23.089999999999996,0.84,0.11,0.17,1.01,0.045,61.83,2.86,0.034,0.05,0.03,0.01,CBS03,13.9,14.3
72,21.11,0.97,0.05,0.09,1.61,0.028,59.73,4.32,0.052,0.07,0.0,0.02,CBS04,7.5,7.8
73,20.28,1.09,0.06,0.09,1.77,0.03,60.15,3.64,0.061,0.07,0.0,0.02,CBS04,7.8,8.2
74,19.7,1.3,0.06,0.08,1.63,0.041,60.59,2.85,0.057,0.12,0.0,0.01,CBS04,8.2,9.0
75,21.830000000000002,1.25,0.08,0.1,1.57,0.047,60.14,3.05,0.05,0.16,0.0,0.01,CBS04,9.0,9.2
76,20.060000000000002,1.05,0.06,0.09,1.31,0.035,60.79,3.26,0.04,0.13,0.0,0.01,CBS04,9.2,9.5
77,19.76,0.62,0.07,0.11,1.34,0.034,59.74,4.53,0.045,0.16,0.0,0.01,CBS04,9.5,9.9
78,19.91,0.58,0.05,0.09,1.19,0.035,60.30,4.42,0.037,0.17,0.0,0.01,CBS04,9.9,10.5
79,19.740000000000002,0.66,0.06,0.09,1.36,0.037,60.48,3.39,0.05,0.09,0.0,0.01,CBS04,10.5,11.0
80,21.0,0.73,0.11,0.16,1.46,0.039,59.86,3.91,0.053,0.06,0.0,0.01,CBS04,11.0,11.5
81,20.46,0.7,0.11,0.13,1.47,0.038,60.24,3.1,0.053,0.05,0.0,0.01,CBS04,11.5,11.8
82,20.25,0.77,0.2,0.22,1.62,0.043,59.74,3.79,0.07,0.08,0.0,0.02,CBS04,11.8,12.0
83,20.43,0.62,0.11,0.12,1.41,0.049,61.08,2.54,0.056,0.05,0.01,0.01,CBS04,12.0,12.7
84,20.78,0.69,0.12,0.14,1.92,0.043,59.75,3.14,0.061,0.17,0.0,0.01,CBS04,12.7,13.0
85,17.82,0.7,0.11,0.2,1.25,0.037,61.14,2.66,0.041,0.06,0.0,0.01,CBS04,13.0,13.2
86,20.01,0.49,0.1,0.24,1.3,0.038,60.66,2.85,0.045,0.04,0.01,0.01,CBS04,13.2,13.9
88,20.880000000000003,0.62,0.08,0.11,1.75,0.04,60.50,2.4,0.044,0.05,0.0,0.01,CBS04,14.4,15.0
89,20.66,0.62,0.08,0.1,1.69,0.039,60.19,2.55,0.05,0.05,0.01,0.01,CBS04,15.0,15.4
308,19.18,0.33,0.04,0.09,1.48,0.061,60.80,1.97,0.038,0.03,0.01,0.01,CBS10,14.3,14.85
310,19.75,0.39,0.04,0.12,1.56,0.068,60.34,2.31,0.04,0.04,0.01,0.01,CBS10,15.15,15.5
311,19.7,0.51,0.03,0.12,1.51,0.069,60.60,2.19,0.043,0.04,0.01,0.01,CBS10,15.5,16.0
312,23.240000000000002,0.33,0.04,0.13,1.68,0.07,60.26,2.34,0.045,0.09,0.01,0.01,CBS10,16.0,16.4
313,18.68,0.38,0.04,0.13,1.49,0.071,60.61,2.04,0.032,0.04,0.01,0.01,CBS10,16.4,16.9
