Unnamed: 0,HOLEID,DEPTH,RL,Method,EAST,NORTH,CollarDip,CollarAzimuth,RigID,TENEMENTID,STARTDATE,ENDDATE,Surveyed
D,CB0089,51.0,418.0,RC,725603.0,7533606.417,-90.0,0.0,RCD250,E45/2499,1-Feb-05,1-Feb-05,24-Feb-05
D,CB0090,59.0,417.0,RC,725609.0,7533231.021,-90.0,0.0,RCD250,E45/2499,2-Feb-05,2-Feb-05,24-Feb-05
D,CB0091,63.0,416.0,RC,725594.0,7532800.325,-90.0,0.0,RCD250,E45/2499,3-Feb-05,4-Feb-05,24-Feb-05
D,CB0092,57.0,415.0,RC,725599.0,7532408.444,-90.0,0.0,RCD250,E45/2499,4-Feb-05,4-Feb-05,24-Feb-05
D,CB0093,69.0,415.0,RC,723990.0,7535606.881,-90.0,0.0,RCD250,E45/2499,5-Feb-05,5-Feb-05,24-Feb-05
D,CB0094,57.0,414.0,RC,723999.0,7535404.311,-90.0,0.0,RCD250,E45/2499,5-Feb-05,6-Feb-05,24-Feb-05
D,CB0095,63.0,413.0,RC,723993.0,7535197.638,-90.0,0.0,RCD250,E45/2499,6-Feb-05,6-Feb-05,24-Feb-05
D,CB0096,69.0,412.0,RC,724002.0,7534799.912,-90.0,0.0,RCD250,E45/2499,6-Feb-05,7-Feb-05,15-Jun-05
D,CB0097,48.0,424.0,RC,728001.0,7533803.705,-90.0,0.0,MAK3,E45/2499,8-Feb-05,8-Feb-05,24-Feb-05
D,CB0098,48.0,423.0,RC,727998.0,7533596.516,-90.0,0.0,MAK3,E45/2499,8-Feb-05,8-Feb-05,24-Feb-05
D,CB0099,60.0,422.0,RC,728002.0,7533393.55,-90.0,0.0,MAK3,E45/2499,8-Feb-05,8-Feb-05,5-Mar-05
D,CB0100,66.0,422.0,RC,728001.0,7533191.42,-90.0,0.0,MAK3,E45/2499,9-Feb-05,9-Feb-05,5-Mar-05
D,CB0101,60.0,423.0,RC,728795.0,7533995.993,-90.0,0.0,MAK3,E45/2499,26-Nov-04,26-Nov-04,24-Feb-05
D,CB0102,42.0,421.0,RC,729588.0,7534009.616,-90.0,0.0,MAK3,E45/2499,27-Nov-04,27-Nov-04,24-Feb-05
D,CB0103,72.0,422.0,RC,730194.0,7533989.154,-90.0,0.0,MAK3,E45/2499,27-Nov-04,27-Nov-04,24-Feb-05
D,CB0104,66.0,424.0,RC,731020.0,7533971.405,-90.0,0.0,MAK3,E45/2499,27-Nov-04,27-Nov-04,24-Feb-05
D,CB0105,66.0,424.0,RC,731395.0,7533900.705,-90.0,0.0,MAK3,E45/2499,27-Nov-04,28-Nov-04,24-Feb-05
D,CB0106,54.0,425.0,RC,732195.0,7533896.36,-90.0,0.0,MAK3,E45/2499,28-Nov-04,28-Nov-04,24-Feb-05
D,CB0107,54.0,426.0,RC,732995.0,7533996.011,-90.0,0.0,MAK3,E45/2499,28-Nov-04,28-Nov-04,24-Feb-05
D,CB0108,36.0,425.0,RC,733201.0,7534004.534,-90.0,0.0,MAK3,E45/2499,28-Nov-04,28-Nov-04,24-Feb-05
D,CB0109,42.0,425.0,RC,733800.0,7533996.485,-90.0,0.0,MAK3,E45/2499,28-Nov-04,28-Nov-04,24-Feb-05
D,CB0110,42.0,426.0,RC,734197.0,7533999.326,-90.0,0.0,MAK3,E45/2499,28-Nov-04,28-Nov-04,24-Feb-05
D,CB0111,30.0,431.0,RC,735009.0,7533999.725,-90.0,0.0,MAK3,E45/2499,29-Nov-04,29-Nov-04,24-Feb-05
D,CB0112,42.0,434.0,RC,734996.0,7533593.241,-90.0,0.0,MAK3,E45/2499,29-Nov-04,29-Nov-04,24-Feb-05
D,CB0113,54.0,422.0,RC,735006.0,7532998.912,-90.0,0.0,MAK3,E45/2499,29-Nov-04,29-Nov-04,24-Feb-05
D,CB0114,42.0,423.0,RC,735202.0,7532997.799,-90.0,0.0,MAK3,E45/2499,29-Nov-04,29-Nov-04,24-Feb-05
D,CB0115,42.0,425.0,RC,735793.0,7532999.929,-90.0,0.0,MAK3,E45/2499,29-Nov-04,30-Nov-04,24-Feb-05
D,CB0116,36.0,429.0,RC,736395.0,7532999.712,-90.0,0.0,MAK3,E45/2499,30-Nov-04,30-Nov-04,24-Feb-05
D,CB0117,60.0,437.0,RC,737000.0,7533000.006,-90.0,0.0,MAK3,E45/2499,30-Nov-04,30-Nov-04,24-Feb-05
D,CB0118,30.0,449.0,RC,737416.0,7532996.371,-90.0,0.0,MAK3,E45/2499,30-Nov-04,30-Nov-04,24-Feb-05
D,CB0119,48.0,437.0,RC,738396.0,7533002.63,-90.0,0.0,MAK3,E45/2499,30-Nov-04,30-Nov-04,24-Feb-05
D,CB0120,60.0,436.0,RC,738600.0,7532999.346,-90.0,0.0,MAK3,E45/2499,30-Nov-04,30-Nov-04,24-Feb-05
D,CB0121,66.0,436.0,RC,738801.0,7532997.396,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0122,78.0,441.0,RC,739206.0,7532996.368,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0123,72.0,439.0,RC,739606.0,7532999.241,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0124,54.0,442.0,RC,739998.0,7532984.559,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0125,60.0,438.0,RC,740002.0,7532589.597,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0126,84.0,437.0,RC,739999.0,7531793.173,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0127,72.0,435.0,RC,740002.0,7531391.531,-90.0,0.0,MAK3,E45/2499,1-Dec-04,1-Dec-04,24-Feb-05
D,CB0128,72.0,433.0,RC,740010.0,7530985.647,-90.0,0.0,MAK3,E45/2499,2-Dec-04,2-Dec-04,24-Feb-05
D,CB0129,72.0,434.0,RC,740605.0,7531004.296,-90.0,0.0,MAK3,E45/2499,3-Dec-04,3-Dec-04,24-Feb-05
D,CB0130,42.0,435.0,RC,741203.0,7531001.168,-90.0,0.0,MAK3,E45/2499,3-Dec-04,3-Dec-04,24-Feb-05
D,CB0131,36.0,439.0,RC,742002.0,7531002.9,-90.0,0.0,MAK3,E45/2499,3-Dec-04,3-Dec-04,24-Feb-05
D,CB0132,48.0,440.0,RC,742392.0,7531001.427,-90.0,0.0,MAK3,E45/2499,3-Dec-04,3-Dec-04,24-Feb-05
D,CB0133,36.0,466.0,RC,743001.0,7530996.909,-90.0,0.0,MAK3,E45/2499,3-Dec-04,3-Dec-04,24-Feb-05
D,CB0134,36.0,447.0,RC,742995.0,7530597.298,-90.0,0.0,MAK3,E45/2499,3-Dec-04,3-Dec-04,24-Feb-05
D,CB0135,72.0,423.0,RC,727196.0,7533595.818,-90.0,0.0,MAK5,E45/2499,13-Dec-04,13-Dec-04,24-Feb-05
